😀	صورت پوزخند
😁	چهره درخشان با چشمان خندان
😂	چهره با اشک شوق
🤣	از شدت خنده روی زمین پیچ و تاب خوردن
😃	صورت خندان با چشمان درشت
😄	صورت خندان با چشمانی خندان
😅	صورت خندان با عرق
😆	پوزخند صورت چروکیده
😉	صورت چشمک
😊	صورت خندان با چشمانی خندان
😋	صورت غذا طعم دار
😎	صورت خندان با عینک آفتابی
😍	چهره ای خندان با چشمان قلبی
😘	صورت در حال بوسه
🥰	صورت خندان با 3 قلب
😗	صورت بوسیدن
😙	صورت در حال بوسیدن با چشمانی خندان
😚	بوسیدن صورت با چشمان بسته
☺️	صورت خندان
☺	صورت خندان
🙂	چهره کمی خندان
🤗	صورت در آغوش گرفته
🤩	ستاره زده
🤔	چهره متفکر
🤨	صورت با ابروی بالا رفته
😐	چهره خنثی
😑	چهره بی بیان
😶	صورت بدون دهان
🙄	صورت با چشمان چرخان
😏	چهره خندان
😣	چهره پایدار
😥	چهره غمگین اما آسوده
😮	صورت با دهان باز
🤐	صورت زیپ دار
😯	صورت خاموش
😪	صورت خواب آلود
😫	چهره خسته
😴	صورت خوابیده
😌	صورت تسکین یافته
😛	صورت با زبان
😜	صورت چشمک با زبان
😝	صورت چروکیده با زبان
🤤	صورت آب دهان
😒	چهره بی حال
😓	صورت فرورفته همراه با عرق
😔	چهره متفکر
😕	چهره گیج
🙃	صورت وارونه
🤑	صورت پولی
😲	چهره حیرت زده
☹️	صورت اخم شده
☹	صورت اخم شده
🙁	صورت کمی اخم شده
😖	چهره گیج
😞	چهره ناامید
😟	چهره نگران
😤	صورت با بخار بینی
😢	صورت گریان
😭	چهره با صدای بلند گریه
😦	صورت اخم شده با دهان باز
😧	چهره مضطرب
😨	چهره ترسناک
😩	چهره خسته
🤯	سر در حال انفجار
😬	چهره ژولیده
😰	چهره مضطرب با عرق
😱	چهره ای که از ترس جیغ می کشد
🥵	صورت داغ
🥶	صورت سرد
😳	صورت برافروخته
🤪	چهره دیوانه
😵	صورت سرگیجه
😡	صورت پرپشت
😠	چهره عصبانی
🤬	صورت با نمادهای روی دهان
😷	صورت با ماسک پزشکی
🤒	صورت با دماسنج
🤕	صورت با بانداژ سر
🤢	صورت تهوع
🤮	استفراغ صورت
🤧	صورت عطسه
😇	صورت خندان با هاله
🤠	صورت کلاه گاوچرانی
🥳	چهره مهمانی
🥴	صورت پژمرده
🥺	صورت ملتمسانه
🤥	صورت دروغگو
🤫	صورت خفه شده
🤭	صورت با دست روی دهان
🧐	صورت با مونوکل
🤓	چهره عصبی
😈	صورت خندان با شاخ
👿	چهره عصبانی با شاخ
🤡	چهره دلقک
👹	غول پیکر
👺	جن
💀	جمجمه
☠️	جمجمه و استخوان های متقاطع
☠	جمجمه و استخوان های متقاطع
👻	روح
👽	بیگانه
👾	هیولای بیگانه
🤖	صورت ربات
💩	انبوهی از پو
😺	صورت گربه خندان
😸	صورت گربه ای خندان با چشمانی خندان
😹	صورت گربه با اشک شوق
