😀	ухилено лице
😁	сияещо лице с усмихнати очи
😂	лице със сълзи от радост
🤣	търкалям се на пода смеейки се
😃	ухилено лице с големи очи
😄	ухилено лице с усмихнати очи
😅	ухилено лице с пот
😆	ухилено кривогледо лице
😉	намигащо лице
😊	усмихнато лице с усмихнати очи
😋	лицето, вкусвайки храна
😎	усмихнато лице със слънчеви очила
😍	усмихнато лице с очи-сърца
😘	лице изпраща целувка
🥰	усмихнато лице с 3 сърца
😗	целуващо лице
😙	целуващо лице с усмихнати очи
😚	целуващо лице със затворени очи
☺️	усмихнато лице
☺	усмихнато лице
🙂	леко усмихнато лице
🤗	прегърнато лице
🤩	звезден
🤔	мислещо лице
🤨	лице с повдигнати вежди
😐	неутрално лице
😑	безизразно лице
😶	лице без уста
🙄	лице с въртящи се очи
😏	усмихнато лице
😣	упорито лице
😥	тъжно, но облекчено лице
😮	лице с отворена уста
🤐	лице с уста с цип
😯	смълчано лице
😪	сънливо лице
😫	уморено лице
😴	спящо лице
😌	облекчено лице
😛	лице с език
😜	намигащо лице с език
😝	кривогледо лице с език
🤤	лигаво лице
😒	неразумно лице
😓	наведено лице с пот
😔	замислено лице
😕	объркано лице
🙃	лице с главата надолу
🤑	лице с уста за пари
😲	учудено лице
☹️	намръщено лице
☹	намръщено лице
🙁	леко намръщено лице
😖	объркано лице
😞	разочаровано лице
😟	притеснено лице
😤	лице с пара от носа
😢	плачещо лице
😭	силно плачещо лице
😦	намръщено лице с отворена уста
😧	измъчено лице
😨	страшно лице
😩	уморено лице
🤯	експлодираща глава
😬	гримасничещо лице
😰	тревожно лице с пот
😱	лице, което крещи от страх
🥵	горещо лице
🥶	студено лице
😳	зачервено лице
🤪	лудо лице
😵	замаяно лице
😡	нацупено лице
😠	ядосано лице
🤬	лице със символи на устата
😷	лице с медицинска маска
🤒	лице с термометър
🤕	лице с превръзка на главата
🤢	гадно лице
🤮	повръщане на лицето
🤧	кихащо лице
😇	усмихнато лице с ореол
🤠	лице с каубойска шапка
🥳	парти лице
🥴	замаяно лице
🥺	умоляващо лице
🤥	лъжливо лице
🤫	мълчащо лице
🤭	лице с ръка върху устата
🧐	лице с монокъл
🤓	лице на маниак
😈	усмихнато лице с рога
👿	ядосано лице с рога
🤡	клоунско лице
👹	чудовище
👺	гоблин
💀	череп
☠️	череп и кръстосани кости
☠	череп и кръстосани кости
👻	призрак
👽	извънземно
👾	извънземно чудовище
🤖	лице на робот
💩	купчина изпражнения
😺	ухилено котешко лице
😸	ухилено котешко лице с усмихнати очи
😹	лице на котка със сълзи от радост
😻	усмихнато котешко лице с очи-сърца
😼	котешко лице с кисела усмивка
😽	целуващо котешко лице
🙀	уморено котешко лице
😿	плачещо котешко лице
😾	нацупено котешко лице
🙈	невиждаща зла маймуна
🙉	маймуна-не-зла
🙊	не говори зло маймуна
🏻	светъл цвят на кожата
🏼	средно светъл тон на кожата
🏽	среден тон на кожата
🏾	средно тъмен цвят на кожата
🏿	тъмен цвят на кожата
👶	бебе
👶🏻	бебе: светъл цвят на кожата
👶🏼	бебе: средно светъл цвят на кожата
👶🏽	бебе: среден цвят на кожата
👶🏾	бебе: средно тъмен цвят на кожата
👶🏿	бебе: тъмна кожа
🧒	дете
🧒🏻	дете: светъл цвят на кожата
🧒🏼	дете: средно светъл тен на кожата
🧒🏽	дете: среден цвят на кожата
🧒🏾	дете: средно тъмен цвят на кожата
🧒🏿	дете: тъмна кожа
👦	момче
👦🏻	момче: светъл цвят на кожата
👦🏼	момче: средно светъл цвят на кожата
👦🏽	момче: среден цвят на кожата
👦🏾	момче: средно тъмен цвят на кожата
👦🏿	момче: тъмна кожа
👧	момиче
👧🏻	момиче: светла кожа
👧🏼	момиче: средно светъл цвят на кожата
👧🏽	момиче: среден цвят на кожата
👧🏾	момиче: средно тъмен цвят на кожата
👧🏿	момиче: тъмна кожа
🧑	възрастен
🧑🏻	възрастен: светъл цвят на кожата
🧑🏼	възрастен: средно светъл цвят на кожата
🧑🏽	възрастен: среден цвят на кожата
🧑🏾	възрастен: средно тъмен цвят на кожата
