😀	የሚስቅ ፊት
😁	የሚያብረቀርቅ ፊት በፈገግታ አይኖች
😂	ፊት በደስታ እንባ
🤣	መሬት ላይ እየተንከባለለ እየሳቀ
😃	በትልልቅ አይኖች የሚስቅ ፊት
😄	ፈገግ ያለ ፊት በፈገግታ አይኖች
😅	በላብ የሚስቅ ፊት
😆	ፈገግ ያለ ዓይናፋር ፊት
😉	ጠመዝማዛ ፊት
😊	ፈገግ ያለ ፊት በፈገግታ አይኖች
😋	ፊት የሚጣፍጥ ምግብ
😎	የፀሐይ መነፅር ያለው ፈገግታ ፊት
😍	ፈገግታ ፊት ከልብ አይኖች ጋር
😘	ፊት መሳም እየነፋ
🥰	3 ልቦች ያሉት ፈገግታ ፊት
😗	የመሳም ፊት
😙	በፈገግታ አይኖች የመሳም ፊት
😚	የተዘጉ ዓይኖች ያሉት የመሳም ፊት
☺️	ፈገግ ያለ ፊት
☺	ፈገግ ያለ ፊት
🙂	ትንሽ ፈገግታ ያለው ፊት
🤗	ማቀፍ ፊት
🤩	በኮከብ ተመታ
🤔	የሚያስብ ፊት
🤨	ከፍ ያለ ቅንድብ ያለው ፊት
😐	ገለልተኛ ፊት
😑	መግለጫ የሌለው ፊት
😶	አፍ የሌለበት ፊት
🙄	የሚሽከረከሩ ዓይኖች ያሉት ፊት
😏	ፈገግታ ያለው ፊት
😣	ጽናት ፊት
😥	አሳዛኝ ግን እፎይታ ያለው ፊት
😮	ክፍት አፍ ያለው ፊት
🤐	ዚፐር-አፍ ፊት
😯	የተደቆሰ ፊት
😪	የሚያንቀላፋ ፊት
😫	የደከመ ፊት
😴	የሚተኛ ፊት
😌	እፎይታ ያለው ፊት
😛	ፊት በምላስ
😜	የሚጣቀስ ፊት በምላስ
😝	ምላሱን የሚያኮራ ፊት
🤤	የሚንጠባጠብ ፊት
😒	ያልተዝናና ፊት
😓	የወረደ ፊት በላብ
😔	የሚያስፈራ ፊት
😕	ግራ የተጋባ ፊት
🙃	የተገለበጠ ፊት
🤑	ገንዘብ-አፍ ፊት
😲	የተገረመ ፊት
☹️	የተኮሳተረ ፊት
☹	የተኮሳተረ ፊት
🙁	በትንሹ የተኮሳተረ ፊት
😖	ግራ የተጋባ ፊት
😞	ተስፋ የቆረጠ ፊት
😟	የተጨነቀ ፊት
😤	ከአፍንጫ በእንፋሎት ፊት
😢	የሚያለቅስ ፊት
😭	ጮክ ብሎ የሚያለቅስ ፊት
😦	የተኮሳተረ ፊት ከተከፈተ አፍ
😧	የተጨነቀ ፊት
😨	አስፈሪ ፊት
😩	የደከመ ፊት
🤯	የሚፈነዳ ጭንቅላት
😬	የሚያሸማቅቅ ፊት
😰	የተጨነቀ ፊት በላብ
😱	በፍርሃት የሚጮህ ፊት
🥵	ትኩስ ፊት
🥶	ቀዝቃዛ ፊት
😳	የታሸገ ፊት
🤪	zany ፊት
😵	መፍዘዝ ፊት
😡	ፊትን ማፍሰስ
😠	የተናደደ ፊት
🤬	በአፍ ላይ ምልክቶች ያሉት ፊት
😷	የሕክምና ጭምብል ያለው ፊት
🤒	ቴርሞሜትር ያለው ፊት
🤕	ፊት ለፊት ከራስ-ፋሻ ጋር
🤢	የማቅለሽለሽ ፊት
🤮	ፊት ማስታወክ
🤧	የሚያስነጥስ ፊት
😇	ሃሎ ያለው ፈገግታ ፊት
🤠	ካውቦይ ባርኔጣ ፊት
🥳	የፓርቲ ፊት
🥴	የሚያሸማቅቅ ፊት
🥺	የሚያማልድ ፊት
🤥	የውሸት ፊት
🤫	የሚሸማቀቅ ፊት
🤭	ፊት በአፍ ላይ በእጅ
🧐	ከ monocle ጋር ፊት
🤓	ነርድ ፊት
😈	ቀንዶች ያሉት ፈገግታ ፊት
👿	የተናደደ ፊት በቀንዶች
🤡	ቀልደኛ ፊት
👹	ኦግሬ
👺	ጎብሊን
💀	የራስ ቅል
☠️	የራስ ቅል እና አጥንት
☠	የራስ ቅል እና አጥንት
👻	መንፈስ
👽	ባዕድ
👾	ባዕድ ጭራቅ
🤖	የሮቦት ፊት
💩	የድሆች ክምር
😺	የሚስቅ ድመት ፊት
😸	ፈገግ ያለ የድመት ፊት በፈገግታ አይኖች
😹	የድመት ፊት በደስታ እንባ
😻	ፈገግታ የድመት ፊት በልብ አይኖች
😼	የድመት ፊት በብስጭት ፈገግታ
😽	የመሳም ድመት ፊት
🙀	የደከመ ድመት ፊት
😿	የሚያለቅስ ድመት ፊት
😾	የድመት ፊት እያፈሰሱ
🙈	እይ-ምንም-ክፉ ጦጣ
🙉	ስማ-አይ-ክፉ ጦጣ
🙊	ተናገር-ምንም-ክፉ ጦጣ
🏻	ቀላል የቆዳ ቀለም
🏼	መካከለኛ-ቀላል የቆዳ ቀለም
🏽	መካከለኛ የቆዳ ቀለም
🏾	መካከለኛ-ጥቁር የቆዳ ቀለም
🏿	ጥቁር የቆዳ ቀለም
👶	ሕፃን
👶🏻	ሕፃን: ቀላል የቆዳ ቀለም
👶🏼	ሕፃን: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👶🏽	ሕፃን: መሃከለኛ የቆዳ ቀለም
👶🏾	ሕፃን: መሃከለኛ-ጥቁር የቆዳ ቀለም
👶🏿	ሕፃን: ጥቁር የቆዳ ቀለም
🧒	ልጅ
🧒🏻	ልጅ: ቀላል የቆዳ ቀለም
🧒🏼	ልጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🧒🏽	ልጅ: መሃከለኛ የቆዳ ቀለም
🧒🏾	ልጅ: መሃከለኛ-ጥቁር የቆዳ ቀለም
🧒🏿	ልጅ: ጥቁር የቆዳ ቀለም
👦	ወንድ ልጅ
👦🏻	ወንድ ልጅ: ቀላል የቆዳ ቀለም
👦🏼	ወንድ ልጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👦🏽	ወንድ ልጅ: መሃከለኛ የቆዳ ቀለም
👦🏾	ወንድ ልጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👦🏿	ልጅ: ጥቁር የቆዳ ቀለም
👧	ሴት ልጅ
👧🏻	ልጃገረድ: ቀላል የቆዳ ቀለም
👧🏼	ልጃገረድ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👧🏽	ልጃገረድ: መሃከለኛ የቆዳ ቀለም
👧🏾	ልጃገረድ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👧🏿	ልጃገረድ: ጥቁር የቆዳ ቀለም
🧑	አዋቂ
🧑🏻	አዋቂ፡ ቀላል የቆዳ ቀለም
🧑🏼	አዋቂ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🧑🏽	አዋቂ: መሃከለኛ የቆዳ ቀለም
🧑🏾	አዋቂ: መሃከለኛ-ጥቁር የቆዳ ቀለም
