😀	হাসিমুখ
😁	হাস্যোজ্জ্বল চোখ দিয়ে উজ্জ্বল মুখ
😂	আনন্দ অশ্রু সঙ্গে মুখ
🤣	হাসতে হাসতে মেঝে উপর ঘূর্ণায়মান
😃	বড় বড় চোখ দিয়ে হাসছে মুখ
😄	হাস্যোজ্জ্বল চোখ সহ হাস্যোজ্জ্বল মুখ
😅	ঘামে মুচকি হাসি
😆	হাস্যোজ্জ্বল মুখ
😉	চোখ মেলানো মুখ
😊	হাস্যোজ্জ্বল চোখ সহ হাসিমুখ
😋	মুখরোচক খাবার
😎	সানগ্লাস সহ হাসিমুখ
😍	হৃদয়-চোখ সহ হাসিমুখ
😘	একটি চুম্বন ফুঁ মুখ
🥰	3টি হৃদয় সহ হাসিমুখ
😗	চুম্বন মুখ
😙	হাস্যোজ্জ্বল চোখে মুখে চুমু খাওয়া
😚	চোখ বন্ধ করে চুমু খাওয়া
☺️	হাস্যোজ্জ্বল মুখ
☺	হাস্যোজ্জ্বল মুখ
🙂	সামান্য হাসিমুখ
🤗	আলিঙ্গন মুখ
🤩	স্টার-স্ট্রাক
🤔	চিন্তা মুখ
🤨	উত্থিত ভ্রু সহ মুখ
😐	নিরপেক্ষ মুখ
😑	অভিব্যক্তিহীন মুখ
😶	মুখ ছাড়া মুখ
🙄	ঘূর্ণায়মান চোখ দিয়ে মুখ
😏	হাস্যোজ্জ্বল মুখ
😣	অধ্যবসায়ী মুখ
😥	দু: খিত কিন্তু স্বস্তিদায়ক মুখ
😮	খোলা মুখ দিয়ে মুখ
🤐	জিপার-মুখের মুখ
😯	নীরব মুখ
😪	ঘুমন্ত মুখ
😫	ক্লান্ত মুখ
😴	ঘুমন্ত মুখ
😌	স্বস্তিদায়ক মুখ
😛	জিভ দিয়ে মুখ
😜	জিভ দিয়ে চোখ টিপছে
😝	জিহ্বা দিয়ে squinting মুখ
🤤	মুখ শুকিয়ে যাওয়া
😒	অপ্রস্তুত মুখ
😓	ঘামে ভেজা মুখ
😔	চিন্তাশীল মুখ
😕	বিভ্রান্ত মুখ
🙃	উল্টো মুখ
🤑	টাকা-মুখ মুখ
😲	বিস্মিত মুখ
☹️	ভ্রুকুটি মুখ
☹	ভ্রুকুটি মুখ
🙁	সামান্য ভ্রুকুটি মুখ
😖	বিভ্রান্ত মুখ
😞	হতাশ মুখ
😟	চিন্তিত মুখ
😤	নাক থেকে বাষ্প সঙ্গে মুখ
😢	কান্নাকাটি মুখ
😭	জোরে কান্নাকাটি মুখ
😦	খোলা মুখ দিয়ে ভ্রুকুটি করা মুখ
😧	বিষণ্ণ মুখ
😨	ভীত মুখ
😩	ক্লান্ত মুখ
🤯	বিস্ফোরিত মাথা
😬	মৃদু মুখ
😰	ঘামে উদ্বিগ্ন মুখ
😱	ভয়ে চিৎকার করছে মুখ
🥵	গরম মুখ
🥶	ঠান্ডা মুখ
😳	রাঙা মুখ
🤪	জঘন্য মুখ
😵	মাথা ঘোরা মুখ
😡	মুখ ঢোকানো
😠	রাগান্বিত চেহারা
🤬	মুখের উপর প্রতীক সহ মুখ
😷	মেডিকেল মাস্ক সহ মুখ
🤒	থার্মোমিটার দিয়ে মুখ
🤕	মাথা ব্যান্ডেজ সঙ্গে মুখ
🤢	বমি বমি ভাব
🤮	মুখ বমি
🤧	হাঁচি মুখ
😇	হ্যালো সহ হাসিমুখ
🤠	কাউবয় টুপি মুখ
🥳	পার্টি মুখ
🥴	উচ্ছল মুখ
🥺	অনুনয় মুখ
🤥	মিথ্যা মুখ
🤫	মুখ বন্ধ
🤭	মুখে হাত দিয়ে মুখ
🧐	মনোকল সহ মুখ
