😀	笑脸
😁	脸上 带 着 微笑 的 眼睛
😂	满脸 喜悦 的 泪水
🤣	笑 得 在 地上 打滚
😃	笑脸 大 眼睛
😄	笑脸 和 微笑 的 眼睛
😅	满脸 汗水 的 笑脸
😆	眯 着 眼睛 笑 的 脸
😉	眨眼 的 脸
😊	微笑 的 脸 和 微笑 的 眼睛
😋	品尝 食物 的 脸
😎	戴 着 墨镜 的 笑脸
😍	心形 眼睛 的 笑脸
😘	脸 飞吻
🥰	笑脸 有 3 颗心
😗	亲吻 脸
😙	带 着 微笑 的 眼睛 亲吻 脸
😚	闭 着 眼睛 亲吻 脸
☺️	微笑 的 面孔
☺	微笑 的 面孔
🙂	微微 微笑 的 脸
🤗	拥抱 脸
🤩	追星 的
🤔	思考 的 脸
🤨	扬眉 的 脸
😐	中性 面孔
😑	面无表情
😶	没有 嘴 的 脸
🙄	翻白眼 的 脸
😏	傻笑 的 脸
😣	坚忍 的 脸
😥	悲伤 但 如释重负 的 脸
😮	张 开嘴 的 脸
🤐	拉链 嘴脸
😯	安静 的 脸
😪	困倦 的 脸
😫	疲惫 的 脸
😴	睡脸
😌	释然 的 脸
😛	用 舌头 面对
😜	用 舌头 眨眼 的 脸
😝	用 舌头 眯 着 脸
🤤	流 口水 的 脸
😒	不 高兴 的 脸
😓	满脸 汗水 低垂 的 脸
😔	沉思 的 脸
😕	困惑 的 脸
🙃	颠倒 的 脸
🤑	钱 嘴脸
😲	惊讶 的 脸
☹️	皱眉 的 脸
☹	皱眉 的 脸
🙁	微微 皱眉 的 脸
😖	困惑 的 脸
😞	失望 的 脸
😟	担心 的 脸
😤	鼻子 里 冒 着 蒸汽 的 脸
😢	哭泣 的 脸
😭	大声 哭泣 的 脸
😦	张 开嘴 皱 着 眉头
😧	痛苦 的 脸
😨	恐惧 的 脸
😩	疲倦 的 脸
🤯	爆炸头
😬	鬼脸
😰	满脸 焦急 满头大汗
😱	脸上 因 恐惧 而 尖叫
🥵	脸热
🥶	冷脸
😳	脸红 了
🤪	滑稽 的 脸
😵	头晕 的 脸
😡	撅 嘴脸
😠	愤怒 的 脸
🤬	嘴 上 有 符号 的 脸
😷	带 着 医用 口罩 的 脸
🤒	带 温度计 的 脸
🤕	头 上 缠 着 绷带 的 脸
🤢	恶心 的 脸
🤮	脸部 呕吐
🤧	打喷嚏 的 脸
😇	带 光环 的 笑脸
🤠	牛仔帽 脸
🥳	派 对 脸
🥴	昏昏 沉沉 的 脸
🥺	恳求 的 脸
🤥	说谎 的 脸
🤫	嘘脸
🤭	用 手 捂住 嘴 的 脸
🧐	带 单 片 眼镜 的 脸
🤓	书 呆子脸
😈	带角 的 笑脸
👿	有 角 的 愤怒 的 脸
🤡	小 丑脸
👹	食 人 魔
👺	小妖精
💀	颅骨
☠️	骷髅 和 交叉骨
☠	骷髅 和 交叉骨
👻	鬼
👽	外星人
👾	外星 怪物
🤖	机器人 脸
💩	一 堆 便 便
😺	咧 着 嘴 笑 的 猫脸
😸	猫 脸 微笑 ， 眼睛 微笑
😹	猫 脸上 带 着 喜悦 的 泪水
😻	心形 眼睛 的 微笑 猫 脸
😼	苦笑 的 猫脸
😽	亲吻 猫脸
🙀	疲惫 的 猫脸
😿	哭泣 的 猫脸
😾	撅嘴 的 猫脸
🙈	无恶不作 的 猴子
🙉	不闻不问 的 猴子
🙊	不说 邪恶 的 猴子
🏻	浅 肤色
🏼	中 浅 肤色
🏽	中等 肤色
🏾	中 黑 肤色
🏿	深色 肤色
👶	婴儿
👶🏻	宝宝 ： 浅肤色
👶🏼	宝宝 ： 中浅 肤色
👶🏽	宝宝 ： 中等 肤色
👶🏾	宝宝 ： 中黑 肤色
👶🏿	宝宝 ： 深色 肤色
🧒	孩子
🧒🏻	孩子 ： 浅肤色
🧒🏼	儿童 ： 中浅 肤色
🧒🏽	儿童 ： 中等 肤色
🧒🏾	儿童 ： 中黑 肤色
🧒🏿	孩子 ： 深色 肤色
👦	男生
👦🏻	男孩 ： 浅肤色
👦🏼	男孩 ： 中浅 肤色
👦🏽	男孩 ： 中等 肤色
👦🏾	男孩 ： 中 黑 肤色
👦🏿	男孩 ： 深色 肤色
👧	女孩
👧🏻	女孩 ： 浅肤色
👧🏼	女孩 ： 中浅 肤色
👧🏽	女孩 ： 中等 肤色
👧🏾	女孩 ： 中 黑 肤色
👧🏿	女孩 ： 深色 肤色
🧑	成人
🧑🏻	成人 ： 浅肤色
🧑🏼	成人 ： 中浅 肤色
🧑🏽	成人 ： 中等 肤色
🧑🏾	成人 ： 中黑 肤色
🧑🏿	成人 ： 深色 肤色
👨	男人
👨🏻	男 ： 浅肤色
👨🏼	男 ： 中浅 肤色
👨🏽	男 ： 中等 肤色
👨🏾	男 ： 中黑 肤色
👨🏿	男 ： 深色 肤色
👩	女士
👩🏻	女 ： 浅肤色
👩🏼	女 ： 中浅 肤色
👩🏽	女性 ： 中等 肤色
👩🏾	女性 ： 中黑 肤色
👩🏿	女 ： 深色 肤色
🧓	老年人
🧓🏻	老年人 ： 浅肤色
🧓🏼	老年人 ： 中浅 肤色
🧓🏽	老年人 ： 中等 肤色
🧓🏾	老年人 ： 中黑 肤色
🧓🏿	老年人 ： 深色 肤色
👴	老人
👴🏻	老人 ： 浅肤色
👴🏼	老人 ： 中浅 肤色
👴🏽	老人 ： 中等 肤色
👴🏾	老人 ： 中黑 肤色
👴🏿	老人 ： 深色 肤色
👵	老妇人
👵🏻	老妇 人 ： 浅肤色
👵🏼	老妇人 ： 中浅 肤色
👵🏽	老妇人 ： 中等 肤色
👵🏾	老妇人 ： 中黑 肤色
👵🏿	老妇人 ： 深色 肤色
👨‍⚕️	男 保健员
👨‍⚕	男 保健员
👨🏻‍⚕️	男 保健员 ： 浅肤色
👨🏻‍⚕	男 保健员 ： 浅肤色
👨🏼‍⚕️	男 保健员 ： 中浅 肤色
👨🏼‍⚕	男 保健员 ： 中浅 肤色
👨🏽‍⚕️	男 保健员 ： 中等 肤色
👨🏽‍⚕	男 保健员 ： 中等 肤色
👨🏾‍⚕️	男 保健员 ： 中黑 肤色
👨🏾‍⚕	男 保健员 ： 中黑 肤色
👨🏿‍⚕️	男 保健员 ： 深色 肤色
👨🏿‍⚕	男 保健员 ： 深色 肤色
👩‍⚕️	女 保健员
👩‍⚕	女 保健员
👩🏻‍⚕️	女 保健员 ： 浅肤色
👩🏻‍⚕	女 保健员 ： 浅肤色
👩🏼‍⚕️	女 保健员 ： 中浅 肤色
👩🏼‍⚕	女 保健员 ： 中浅 肤色
👩🏽‍⚕️	女 保健员 ： 中等 肤色
👩🏽‍⚕	女 保健员 ： 中等 肤色
👩🏾‍⚕️	女 保健员 ： 中黑 肤色
👩🏾‍⚕	女 保健员 ： 中黑 肤色
👩🏿‍⚕️	女 保健员 ： 深色 肤色
👩🏿‍⚕	女 保健员 ： 深色 肤色
👨‍🎓	男 学生
👨🏻‍🎓	男 学生 ： 浅肤色
👨🏼‍🎓	男 学生 ： 中浅 肤色
👨🏽‍🎓	男 学生 ： 中等 肤色
👨🏾‍🎓	男 学生 ： 中黑 肤色
👨🏿‍🎓	男 学生 ： 深色 肤色
👩‍🎓	女 学生
👩🏻‍🎓	女 学生 ： 浅肤色
👩🏼‍🎓	女 学生 ： 中浅 肤色
👩🏽‍🎓	女 学生 ： 中等 肤色
👩🏾‍🎓	女 学生 ： 中黑 肤色
👩🏿‍🎓	女 学生 ： 深色 肤色
👨‍🏫	男 老师
👨🏻‍🏫	男 老师 ： 浅肤色
👨🏼‍🏫	男 老师 ： 中浅 肤色
👨🏽‍🏫	男 老师 ： 中等 肤色
👨🏾‍🏫	男 老师 ： 中黑 肤色
👨🏿‍🏫	男 老师 ： 深色 肤色
👩‍🏫	女 老师
👩🏻‍🏫	女 老师 ： 浅肤色
👩🏼‍🏫	女 老师 ： 中浅 肤色
👩🏽‍🏫	女 老师 ： 中等 肤色
👩🏾‍🏫	女 老师 ： 中黑 肤色
👩🏿‍🏫	女 老师 ： 深色 肤色
👨‍⚖️	男 法官
👨‍⚖	男 法官
👨🏻‍⚖️	男评委 ： 浅肤色
👨🏻‍⚖	男评委 ： 浅肤色
👨🏼‍⚖️	男评委 ： 中浅 肤色
👨🏼‍⚖	男评委 ： 中浅 肤色
