😀	笑臉
😁	臉 上 帶著 微笑 的 眼睛
😂	滿臉 喜悅 的 淚水
🤣	笑 得 在 地上 打滾
😃	笑臉 大 眼睛
😄	笑臉 和 微笑 的 眼睛
😅	滿 臉 汗水 的 笑臉
😆	瞇著 眼睛 笑 的 臉
😉	眨眼 的 臉
😊	微笑 的 臉 和 微笑 的 眼睛
😋	品嚐 食物 的 臉
😎	戴著 墨鏡 的 笑臉
😍	心型 眼睛 的 笑臉
😘	臉飛 吻
🥰	笑臉 有 3 顆心
😗	親吻 臉
😙	帶著 微笑 的 眼睛 親吻 臉
😚	閉著 眼睛 親吻 臉
☺️	微笑 的 臉孔
☺	微笑 的 臉孔
🙂	微微 微笑 的 臉
🤗	擁 抱臉
🤩	追星 的
🤔	思考 的 臉
🤨	揚眉 的 臉
😐	中性 臉孔
😑	面無 表情
😶	沒有 嘴巴 的 臉
🙄	翻白眼 的 臉
😏	傻笑 的 臉
😣	堅忍 的 臉
😥	悲傷 但 如 釋 重負 的 臉
😮	張開嘴 的 臉
🤐	拉鍊 嘴臉
😯	安靜 的 臉
😪	困倦 的 臉
😫	疲憊 的 臉
😴	睡臉
😌	釋然 的 臉
😛	用 舌頭 面對
😜	用 舌頭 眨眼 的 臉
😝	用 舌頭 瞇 著臉
🤤	流 口水 的 臉
😒	不 高興 的 臉
😓	滿 臉 汗水 低垂 的 臉
😔	沉思 的 臉
😕	困惑 的 臉
🙃	顛倒 的 臉
🤑	錢嘴 臉
😲	驚訝 的 臉
☹️	皺眉 的 臉
☹	皺眉 的 臉
🙁	微微 皺眉 的 臉
😖	困惑 的 臉
😞	失望 的 臉
😟	擔心 的 臉
😤	鼻子 冒著 蒸氣 的 臉
😢	哭泣 的 臉
😭	大聲 哭泣 的 臉
😦	張開 嘴皺 著眉 頭
😧	痛苦 的 臉
😨	恐懼 的 臉
😩	疲倦 的 臉
🤯	爆炸 頭
😬	鬼臉
😰	滿臉 焦急 滿頭 大汗
😱	臉 上 因 恐懼 而 尖叫
🥵	臉熱
🥶	冷臉
😳	臉紅 了
🤪	滑稽 的 臉
😵	頭暈 的 臉
😡	嘟嘴 臉
😠	憤怒 的 臉
🤬	嘴巴 上 有 符號 的 臉
😷	帶著醫 用 口罩 的 臉
🤒	有 溫度 計 的 臉
🤕	頭 上 纏著 繃帶 的 臉
🤢	噁心 的 臉
🤮	臉部 嘔吐
🤧	打噴嚏 的 臉
😇	帶 有 光環 的 笑臉
🤠	牛仔帽 臉
🥳	派 對臉
🥴	昏昏 沉沉 的 臉
🥺	懇求 的 臉
🤥	說謊 的 臉
🤫	噓臉
🤭	用 手 摀住 嘴巴 的 臉
🧐	附單片 眼鏡 的 臉
🤓	書 呆子 臉
😈	有 角 的 笑臉
👿	有 角 的 憤怒 的 臉
🤡	小丑臉
👹	食 人 魔
👺	小妖精
💀	顱骨
☠️	骷髏 和 交叉骨
☠	骷髏 和 交叉骨
👻	鬼
👽	外星人
👾	外星 怪物
🤖	機器人 臉
💩	一 堆 便 便
😺	咧 嘴 笑 的 貓臉
😸	貓臉 微笑 ， 眼睛 微笑
😹	貓咪 臉 上 帶著 喜悅 的 淚水
😻	心型 眼睛 的 微笑 貓臉
😼	苦笑 的 貓臉
😽	親吻 貓臉
🙀	疲憊 的 貓臉
😿	哭泣 的 貓臉
😾	嘟嘴 的 貓臉
🙈	無惡 不 作 的 猴子
🙉	不 聞 不 問 的 猴子
🙊	不 說 邪惡 的 猴子
🏻	淺 膚色
🏼	中 淺 膚色
🏽	中等 膚色
🏾	中 黑 膚色
🏿	深色 膚色
👶	嬰兒
👶🏻	寶寶 ： 淺 膚色
👶🏼	寶寶 ： 中淺 膚色
👶🏽	寶寶 ： 中等 膚色
👶🏾	寶寶 ： 中 黑 膚色
👶🏿	寶寶 ： 深色 膚色
🧒	孩子
🧒🏻	孩子 ： 淺 膚色
🧒🏼	兒童 ： 中淺 膚色
