😀	nacereno lice
😁	ozareno lice sa nasmijanim očima
😂	lice sa suzama radosnicama
🤣	valja se po podu od smijeha
😃	nasmijano lice sa velikim očima
😄	nasmijano lice sa nasmijanim očima
😅	nacereno lice od znoja
😆	nacereno škiljeće lice
😉	namiguje lice
😊	nasmijano lice sa nasmijanim očima
😋	hranu koja uživa u licu
😎	nasmijano lice sa sunčanim naočalama
😍	nasmejano lice sa očima srca
😘	lice puše poljubac
🥰	nasmijano lice sa 3 srca
😗	kissing face
😙	ljubeće lice sa nasmejanim očima
😚	ljubeće lice sa zatvorenim očima
☺️	nasmijano lice
☺	nasmijano lice
🙂	blago nasmijano lice
🤗	grleće lice
🤩	zvjezdani
🤔	misleće lice
🤨	lice sa podignutom obrvom
😐	neutralno lice
😑	bezizražajnog lica
😶	lice bez usta
🙄	lice sa kolutajućim očima
😏	nasmijano lice
😣	uporno lice
😥	tužno ali olakšano lice
😮	lice sa otvorenim ustima
🤐	lice sa rajsferšlusom
😯	prigušeno lice
😪	pospano lice
😫	umorno lice
😴	lice koje spava
😌	rasterećeno lice
😛	lice sa jezikom
😜	namigivanje sa jezikom
😝	škiljeće lice jezikom
🤤	slinavo lice
😒	nezadovoljno lice
😓	oboreno lice od znoja
😔	zamišljeno lice
😕	zbunjeno lice
🙃	naopako lice
🤑	lice sa ustima novca
😲	začuđeno lice
☹️	namršteno lice
☹	namršteno lice
🙁	blago namršteno lice
😖	zbunjeno lice
😞	razočarano lice
😟	zabrinuto lice
😤	lice sa parom iz nosa
😢	uplakano lice
😭	glasno uplakano lice
😦	namršteno lice sa otvorenim ustima
😧	tjeskobno lice
😨	uplašeno lice
😩	umorno lice
🤯	eksplodirajuća glava
😬	lice sa grimasom
😰	uznemireno lice od znoja
😱	lice koje vrišti od straha
🥵	vruće lice
🥶	hladno lice
😳	zajapureno lice
🤪	ludo lice
😵	vrtoglavica
😡	napućeno lice
😠	ljutito lice
🤬	lice sa simbolima na ustima
😷	lice sa medicinskom maskom
🤒	lice sa termometrom
🤕	lice sa zavojem za glavu
🤢	mučno lice
🤮	povraćanje lica
🤧	kijanje lice
😇	nasmijano lice sa oreolom
🤠	kaubojski šešir lice
🥳	partying face
🥴	omamljeno lice
🥺	molećivo lice
🤥	ležeće lice
🤫	šutljivo lice
🤭	lice sa rukom preko usta
🧐	lice sa monoklom
🤓	nerd face
😈	nasmijano lice sa rogovima
👿	ljutito lice sa rogovima
🤡	klovnovsko lice
👹	ogre
👺	goblin
💀	lobanja
☠️	lobanje i ukrštene kosti
☠	lobanje i ukrštene kosti
👻	duh
👽	vanzemaljac
👾	vanzemaljsko čudovište
🤖	lice robota
💩	gomila izmeta
😺	nacereno mačje lice
😸	nasmejano mačje lice sa nasmejanim očima
😹	mačje lice sa suzama radosnicama
😻	nasmejano mačje lice sa srcem
😼	mačje lice sa iskrivljenim osmehom
😽	ljubljenje mačjeg lica
🙀	umorno mačje lice
😿	uplakano lice mačke
😾	napućeno mačje lice
🙈	nevidim zlog majmuna
🙉	ne čuje zli majmun
🙊	ne govori zao majmun
🏻	svijetli ton kože
🏼	srednje svijetli ton kože
🏽	srednji ton kože
🏾	srednje tamni ton kože
🏿	tamni ton kože
👶	baby
👶🏻	beba: svijetla koža
👶🏼	beba: srednje svijetla koža
👶🏽	beba: srednja boja kože
👶🏾	beba: srednje tamna koža
👶🏿	beba: tamna koža
🧒	dijete
🧒🏻	dijete: svijetla koža
🧒🏼	dijete: srednje svijetla boja kože
🧒🏽	dijete: srednja boja kože
🧒🏾	dijete: srednje tamna koža
🧒🏿	dijete: tamna koža
👦	dečko
👦🏻	dječak: svijetla koža
👦🏼	dječak: srednje svijetla koža
👦🏽	dječak: srednja boja kože
👦🏾	dječak: srednje tamna koža
👦🏿	dječak: tamna koža
👧	djevojka
👧🏻	djevojka: svijetla koža
👧🏼	djevojka: srednje svijetla koža
👧🏽	djevojka: srednji ten
👧🏾	djevojka: srednje tamna koža
👧🏿	djevojka: tamna koža
🧑	odrasla osoba
🧑🏻	odrasla osoba: svijetla koža
🧑🏼	odrasla osoba: srednje svijetla boja kože
🧑🏽	odrasla osoba: srednja boja kože
🧑🏾	odrasla osoba: srednje tamna koža
🧑🏿	odrasla osoba: tamna koža
👨	covece
👨🏻	muškarac: svijetla koža
👨🏼	muškarac: srednje svijetla koža
👨🏽	muškarac: srednja boja kože
👨🏾	muškarac: srednje tamna koža
👨🏿	muškarac: tamna koža
👩	zena
👩🏻	žena: svijetla koža
👩🏼	žena: srednje svijetla koža
👩🏽	žena: srednji ten
👩🏾	žena: srednje tamna koža
👩🏿	žena: tamna koža
🧓	starija odrasla osoba
🧓🏻	starija osoba: svijetla koža
🧓🏼	starija odrasla osoba: srednje svijetla boja kože
🧓🏽	starija osoba: srednja boja kože
🧓🏾	starija osoba: srednje tamna koža
🧓🏿	starija osoba: tamna koža
👴	stari covjek
👴🏻	starac: svijetla koža
👴🏼	starac: srednje svijetla koža
👴🏽	starac: srednja boja kože
👴🏾	starac: srednje tamna koža
👴🏿	starac: tamna koža
👵	stara zena
👵🏻	starica: svijetla koža
👵🏼	starica: srednje svijetla koža
👵🏽	starica: srednji ten
👵🏾	starica: srednje tamna koža
👵🏿	starica: tamna koža
👨‍⚕️	muškarac zdravstveni radnik
👨‍⚕	muškarac zdravstveni radnik
👨🏻‍⚕️	muškarac zdravstveni radnik: svijetla koža
👨🏻‍⚕	muškarac zdravstveni radnik: svijetla koža
👨🏼‍⚕️	muškarac zdravstveni radnik: srednje svijetla boja kože
👨🏼‍⚕	muškarac zdravstveni radnik: srednje svijetla boja kože
👨🏽‍⚕️	muškarac zdravstveni radnik: srednja boja kože
👨🏽‍⚕	muškarac zdravstveni radnik: srednja boja kože
👨🏾‍⚕️	muškarac zdravstveni radnik: srednje tamna koža
👨🏾‍⚕	muškarac zdravstveni radnik: srednje tamna koža
👨🏿‍⚕️	muškarac zdravstveni radnik: tamna koža
👨🏿‍⚕	muškarac zdravstveni radnik: tamna koža
👩‍⚕️	zdravstveni radnik
👩‍⚕	zdravstveni radnik
👩🏻‍⚕️	zdravstvena radnica: svijetla koža
👩🏻‍⚕	zdravstvena radnica: svijetla koža
👩🏼‍⚕️	zdravstvena radnica: srednje svijetla koža
👩🏼‍⚕	zdravstvena radnica: srednje svijetla koža
👩🏽‍⚕️	zdravstvena radnica: srednji ten
👩🏽‍⚕	zdravstvena radnica: srednji ten
👩🏾‍⚕️	zdravstvena radnica: srednje tamna koža
👩🏾‍⚕	zdravstvena radnica: srednje tamna koža
👩🏿‍⚕️	zdravstvena radnica: tamna koža
👩🏿‍⚕	zdravstvena radnica: tamna koža
👨‍🎓	student student
👨🏻‍🎓	student: svijetla koža
👨🏼‍🎓	student: srednje svijetla koža
👨🏽‍🎓	student: srednji ten
👨🏾‍🎓	student: srednje tamna koža
👨🏿‍🎓	student: tamna koža
👩‍🎓	studentkinja
👩🏻‍🎓	studentica: svijetla koža
👩🏼‍🎓	studentica: srednje svijetla koža
👩🏽‍🎓	studentica: srednji ten
👩🏾‍🎓	studentica: srednje tamna koža
👩🏿‍🎓	studentica: tamna koža
👨‍🏫	muški učitelj
👨🏻‍🏫	muškarac učitelj: svijetla koža
👨🏼‍🏫	muškarac učitelj: srednje svijetla koža
👨🏽‍🏫	muškarac učitelj: srednji ten kože
👨🏾‍🏫	muškarac učitelj: srednje tamna koža
👨🏿‍🏫	muškarac učitelj: tamna koža
👩‍🏫	žena učiteljica
👩🏻‍🏫	žena učiteljica: svijetla koža
👩🏼‍🏫	žena učiteljica: srednje svijetla koža
👩🏽‍🏫	žena učiteljica: srednji ten kože
👩🏾‍🏫	žena učiteljica: srednje tamna koža
