😀	γελαστό πρόσωπο
😁	λαμπερό πρόσωπο με χαμογελαστά μάτια
😂	πρόσωπο με δάκρυα χαράς
🤣	κυλιέμαι στο πάτωμα γελώντας
😃	χαμογελαστό πρόσωπο με μεγάλα μάτια
😄	χαμογελαστό πρόσωπο με χαμογελαστά μάτια
😅	γελαστό πρόσωπο με ιδρώτα
😆	χαμογελώντας στραβοκοιτάρικο πρόσωπο
😉	πρόσωπο που κλείνει το μάτι
😊	χαμογελαστό πρόσωπο με χαμογελαστά μάτια
😋	πρόσωπο απολαμβάνοντας φαγητό
😎	χαμογελαστό πρόσωπο με γυαλιά ηλίου
😍	χαμογελαστό πρόσωπο με μάτια καρδιά
😘	πρόσωπο που φυσάει ένα φιλί
🥰	χαμογελαστό πρόσωπο με 3 καρδιές
😗	φιλώντας πρόσωπο
😙	φιλώντας πρόσωπο με χαμογελαστά μάτια
😚	φιλώντας πρόσωπο με κλειστά μάτια
☺️	χαμογελαστό πρόσωπο
☺	χαμογελαστό πρόσωπο
🙂	ελαφρώς χαμογελαστό πρόσωπο
🤗	αγκαλιασμένο πρόσωπο
🤩	αστέρια
🤔	σκεπτόμενο πρόσωπο
🤨	πρόσωπο με ανασηκωμένο φρύδι
😐	ουδέτερο πρόσωπο
😑	ανέκφραστο πρόσωπο
😶	πρόσωπο χωρίς στόμα
🙄	πρόσωπο με γουρλωμένα μάτια
😏	χαμογελαστό πρόσωπο
😣	επίμονο πρόσωπο
😥	λυπημένο αλλά ανακουφισμένο πρόσωπο
😮	πρόσωπο με ανοιχτό στόμα
🤐	πρόσωπο με φερμουάρ
😯	κρυφό πρόσωπο
😪	νυσταγμένο πρόσωπο
😫	κουρασμένο πρόσωπο
😴	κοιμισμένο πρόσωπο
😌	ανακουφισμένο πρόσωπο
😛	πρόσωπο με γλώσσα
😜	πρόσωπο που κλείνει το μάτι με τη γλώσσα
😝	στραβίζοντας πρόσωπο με γλώσσα
🤤	σαλιαρισμένο πρόσωπο
😒	αδιάφορο πρόσωπο
😓	κατεβασμένο πρόσωπο με ιδρώτα
😔	συλλογισμένο πρόσωπο
😕	μπερδεμένο πρόσωπο
🙃	ανάποδο πρόσωπο
🤑	πρόσωπο-στόμα χρημάτων
😲	έκπληκτο πρόσωπο
☹️	συνοφρυωμένο πρόσωπο
☹	συνοφρυωμένο πρόσωπο
🙁	ελαφρώς συνοφρυωμένο πρόσωπο
😖	μπερδεμένο πρόσωπο
😞	απογοητευμένο πρόσωπο
😟	ανήσυχο πρόσωπο
😤	πρόσωπο με ατμό από τη μύτη
😢	πρόσωπο που κλαίει
😭	πρόσωπο που κλαίει δυνατά
😦	συνοφρυωμένο πρόσωπο με ανοιχτό στόμα
😧	αγωνιώδες πρόσωπο
😨	φοβισμένο πρόσωπο
😩	κουρασμένο πρόσωπο
🤯	εκρηκτικό κεφάλι
😬	γκριμάτσο πρόσωπο
😰	ανήσυχο πρόσωπο με ιδρώτα
😱	πρόσωπο που ουρλιάζει από φόβο
🥵	καυτό πρόσωπο
🥶	κρύο πρόσωπο
😳	κοκκινισμένο πρόσωπο
🤪	τρελό πρόσωπο
😵	ζαλισμένο πρόσωπο
😡	μουτρωμένο πρόσωπο
😠	θυμωμένο πρόσωπο
🤬	πρόσωπο με σύμβολα στο στόμα
😷	πρόσωπο με ιατρική μάσκα
🤒	πρόσωπο με θερμόμετρο
🤕	πρόσωπο με επίδεσμο κεφαλής
🤢	πρόσωπο με ναυτία
🤮	εμετός προσώπου
🤧	φταρνιζόμενο πρόσωπο
😇	χαμογελαστό πρόσωπο με φωτοστέφανο
🤠	καουμπόικο καπέλο πρόσωπο
🥳	πρόσωπο για πάρτι
🥴	θολό πρόσωπο
🥺	ικετευτικό πρόσωπο
🤥	ξαπλωμένο πρόσωπο
🤫	σκωπτικό πρόσωπο
🤭	πρόσωπο με το χέρι πάνω από το στόμα
🧐	πρόσωπο με μονόκλ
🤓	σπασίκλα πρόσωπο
😈	χαμογελαστό πρόσωπο με κέρατα
👿	θυμωμένο πρόσωπο με κέρατα
🤡	πρόσωπο κλόουν
👹	δράκοντας
👺	Τελώνιο
💀	κρανίο
☠️	κρανίο και χιαστί
☠	κρανίο και χιαστί
👻	φάντασμα
👽	εξωγήινο
👾	εξωγήινο τέρας
🤖	πρόσωπο ρομπότ
💩	σωρός από κακού
😺	χαμογελαστό πρόσωπο γάτας
😸	χαμογελαστό πρόσωπο γάτας με χαμογελαστά μάτια
😹	πρόσωπο γάτας με δάκρυα χαράς
😻	χαμογελαστό πρόσωπο γάτας με μάτια καρδιά
😼	πρόσωπο γάτας με ειρωνικό χαμόγελο
😽	φιλώντας πρόσωπο γάτας
🙀	κουρασμένο πρόσωπο γάτας
😿	πρόσωπο γάτας που κλαίει
😾	μουτρωμένο πρόσωπο γάτας
🙈	δεν βλέπεις-κακό μαϊμού
🙉	άκου-όχι-κακό μαϊμού
🙊	μίλα-όχι-κακό μαϊμού
🏻	ανοιχτόχρωμο δέρμα
🏼	μεσαίου ανοιχτού τόνου δέρματος
🏽	μεσαίου τόνου δέρματος
🏾	μεσαίου-σκούρου τόνου δέρματος
🏿	σκούρο τόνο δέρματος
👶	μωρό
👶🏻	μωρό: ανοιχτόχρωμος τόνος δέρματος
👶🏼	μωρό: μεσαίος-ανοιχτός τόνος δέρματος
👶🏽	μωρό: μεσαίος τόνος δέρματος
👶🏾	μωρό: μεσαίος-σκούρος τόνος δέρματος
👶🏿	μωρό: σκούρος τόνος δέρματος
🧒	παιδί
🧒🏻	παιδί: ανοιχτόχρωμος τόνος δέρματος
🧒🏼	παιδί: μεσαίος-ανοιχτός τόνος δέρματος
🧒🏽	παιδί: μεσαίος τόνος δέρματος
🧒🏾	παιδί: μεσαίος-σκούρος τόνος δέρματος
🧒🏿	παιδί: σκούρος τόνος δέρματος
👦	αγόρι
👦🏻	αγόρι: ανοιχτόχρωμος τόνος δέρματος
👦🏼	αγόρι: μεσαίος-ανοιχτός τόνος δέρματος
👦🏽	αγόρι: μεσαίος τόνος δέρματος
👦🏾	αγόρι: μεσαίος-σκούρος τόνος δέρματος
👦🏿	αγόρι: σκούρος τόνος δέρματος
👧	κορίτσι
👧🏻	κορίτσι: ανοιχτόχρωμος τόνος δέρματος
👧🏼	κορίτσι: μεσαίου ανοιχτού τόνου δέρματος
👧🏽	κορίτσι: μεσαίου τόνου δέρματος
👧🏾	κορίτσι: μεσαίος-σκούρος τόνος δέρματος
👧🏿	κορίτσι: σκούρος τόνος δέρματος
🧑	ενήλικας
🧑🏻	ενήλικας: ανοιχτόχρωμος τόνος δέρματος
🧑🏼	ενήλικας: μεσαίος-ανοιχτός τόνος δέρματος
🧑🏽	ενήλικας: μεσαίου τόνου δέρματος
🧑🏾	ενήλικας: μεσαίος-σκούρος τόνος δέρματος
🧑🏿	ενήλικας: σκούρος τόνος δέρματος
👨	άνδρας
👨🏻	άνδρας: ανοιχτόχρωμος τόνος δέρματος
👨🏼	άνδρας: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽	άνδρας: μεσαίος τόνος δέρματος
