😀	ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
😁	ହସୁଥିବା ଆଖିରେ ଆଲୋକିତ ଚେହେରା |
😂	ଆନନ୍ଦରେ ଲୁହ
🤣	ହସୁଥିବା ଚଟାଣରେ ଗଡ଼ୁଛି |
😃	ବଡ ଆଖିରେ ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
😄	ହସୁଥିବା ଆଖିରେ ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
😅	at ାଳ ସହିତ ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
😆	ଚିତ୍କାର କରୁଥିବା ଚେହେରା
😉	ଆଖି ବୁଜିଦେବା |
😊	ହସୁଥିବା ଆଖିରେ ହସୁଥିବା ଚେହେରା |
😋	ଖାଦ୍ୟ ସୁଗନ୍ଧିତ ଖାଦ୍ୟ |
😎	ଚଷମା ସହିତ ହସୁଥିବା ଚେହେରା |
😍	ହୃଦୟ ଆଖିରେ ହସୁଥିବା ଚେହେରା |
😘	ଚୁମ୍ବନ ଦେଉଥିବା ମୁହଁ |
🥰	3 ହୃଦୟ ସହିତ ହସୁଥିବା ଚେହେରା |
😗	ଚୁମ୍ବନ ମୁହଁ
😙	ହସୁଥିବା ଆଖିରେ ମୁହଁ ଚୁମ୍ବନ |
😚	ବନ୍ଦ ଆଖିରେ ମୁହଁ ଚୁମ୍ବନ |
☺️	ହସୁଥିବା ଚେହେରା |
☺	ହସୁଥିବା ଚେହେରା |
🙂	ସାମାନ୍ୟ ହସୁଥିବା ଚେହେରା |
🤗	ଆଲିଙ୍ଗନ
🤩	ତାରା
🤔	ଚିନ୍ତା ଚେହେରା |
🤨	ଉଠାଯାଇଥିବା ଆଖି ସହିତ ମୁହଁ |
😐	ନିରପେକ୍ଷ ଚେହେରା |
😑	ଅଭିବ୍ୟକ୍ତିହୀନ ଚେହେରା |
😶	ମୁହଁ ବିନା ମୁହଁ |
🙄	ଆଖି ବୁଜି ଦେଇ ମୁହଁ |
😏	ହସୁଥିବା ଚେହେରା |
😣	ସ୍ଥିର ଚେହେରା |
😥	ଦୁ sad ଖୀ କିନ୍ତୁ ଆରାମଦାୟକ ଚେହେରା |
😮	ମୁହଁ ଖୋଲ
🤐	ଜିପର୍-ମୁହଁ ମୁହଁ |
😯	ମୁହଁ
😪	ନିଦ୍ରା ମୁହଁ |
😫	କ୍ଳାନ୍ତ ଚେହେରା |
😴	ଶୋଇଥିବା ଚେହେରା |
😌	ମୁହଁରୁ ମୁକ୍ତି
😛	ଜିଭ ସହିତ ମୁହଁ |
😜	ଜିଭରେ ମୁହଁ ବୁଲାଇବା |
😝	ଜିଭ ସହିତ ଚେହେରା
🤤	ro ୁଲୁଥିବା ଚେହେରା |
😒	ଅବ୍ୟବହୃତ ଚେହେରା |
😓	at ାଳ ସହିତ ତଳକୁ ମୁହଁ |
😔	ଘୋର ଚେହେରା |
😕	ଦ୍ୱନ୍ଦ୍ୱପୂର୍ଣ୍ଣ ଚେହେରା |
🙃	ଓଲଟା ମୁହଁ |
🤑	ଟଙ୍କା ମୁହଁ ମୁହଁ |
😲	ଆଶ୍ଚର୍ଯ୍ୟ ଚେହେରା |
☹️	ମୁହଁ ଫୁଟିବା |
☹	ମୁହଁ ଫୁଟିବା |
🙁	ସାମାନ୍ୟ ଭ୍ରାନ୍ତ ଚେହେରା |
😖	ଲଜ୍ଜିତ ଚେହେରା |
😞	ନିରାଶ ହୋଇଥିବା ଚେହେରା |
😟	ଚିନ୍ତିତ ଚେହେରା |
😤	ନାକରୁ ବାଷ୍ପ ସହିତ ମୁହଁ |
😢	କାନ୍ଦୁଥିବା ମୁହଁ |
😭	ଜୋରରେ କାନ୍ଦୁଥିବା ମୁହଁ |
😦	ମୁହଁ ଖୋଲିବା ମୁହଁ |
😧	ଦୁ angu ଖୀ ଚେହେରା |
😨	ଭୟଭୀତ ଚେହେରା |
😩	କ୍ଳାନ୍ତ ଚେହେରା |
🤯	ବିସ୍ଫୋରଣ ମୁଣ୍ଡ
😬	ଦୁ im ଖୀ ଚେହେରା |
😰	at ାଳ ସହିତ ଚିନ୍ତିତ ଚେହେରା |
😱	ଭୟଭୀତ ହୋଇ ଚିତ୍କାର
🥵	ଗରମ ଚେହେରା |
🥶	ଥଣ୍ଡା ଚେହେରା |
😳	ମୁହଁ ଫୁଲିଲା |
🤪	ଜାନି ଚେହେରା |
😵	ମୁଣ୍ଡ ବୁଲାଇବା |
😡	ମୁହଁ
😠	କ୍ରୋଧିତ ଚେହେରା |
🤬	ମୁହଁରେ ପ୍ରତୀକ ସହିତ ମୁହଁ |
😷	ଡାକ୍ତରୀ ମାସ୍କ ସହିତ ମୁହଁ |
🤒	ଥର୍ମୋମିଟର ସହିତ ମୁହଁ |
