😀	خندونکې مخ
😁	د خندا سترګو سره روښانه مخ
😂	د خوښۍ له اوښکو سره مخ
🤣	په فرش باندې خندل
😃	د غټو سترګو سره خندونکې مخ
😄	خندا کوونکی مخ په خندا سترګو
😅	خندا د خولې سره مخ
😆	خندا کوونکی مخ
😉	سترګې پټېدونکی مخ
😊	موسکا لرونکی مخ د خندا سترګو سره
😋	مخ خوندور خواړه
😎	موسکا لرونکی مخ د لمر عینکو سره
😍	موسکا مخ د زړه سترګو سره
😘	مخ یو ښکلول
🥰	موسکا لرونکی مخ د 3 زړونو سره
😗	ښکلول مخ
😙	په خندا سترګو سره د مخ ښکلول
😚	د تړلو سترګو سره د مخ ښکلول
☺️	مسکا مخ
☺	مسکا مخ
🙂	یو څه موسکا مخ
🤗	غیږه نیول
🤩	ستوری شوی
🤔	فکري مخ
🤨	د پورته شوي ابرو سره مخ
😐	بې طرفه مخ
😑	بې بیان مخ
😶	پرته له خولې مخ
🙄	مخ د تورو سترګو سره
😏	خندونکی مخ
😣	صبر کوونکی مخ
😥	غمجن خو راحته مخ
😮	د خلاصې خولې سره مخ
🤐	zipper-خوله مخ
😯	پټ مخ
😪	ویده مخ
😫	ستړی مخ
😴	ویده مخ
😌	آرام شوی مخ
😛	د ژبې سره مخ
😜	په ژبه سره مخ ړنګول
😝	د ژبې سره د مخ څکېدل
🤤	لوند مخ
😒	نا آرامه مخ
😓	له خولې سره ښکته مخ
😔	حساس مخ
😕	ګډوډ مخ
🙃	پورته ښکته مخ
🤑	د پیسو مخ
😲	حیران شوی مخ
☹️	خندونکی مخ
☹	خندونکی مخ
🙁	لږ خپه شوی مخ
😖	ګډوډ مخ
😞	مایوسه مخ
😟	اندیښمن مخ
😤	د پوزې څخه د بخار سره مخ
😢	ژړا مخ
😭	په لوړ غږ ژاړي
😦	د خلاصې خولې سره خندونکی مخ
😧	خپه شوی مخ
😨	ډارونکی مخ
😩	ستړی مخ
🤯	چاودیدونکی سر
😬	خوندور مخ
😰	اندیښمن مخ د خولې سره
😱	مخ په ویره کې چیغې وهل
🥵	ګرم مخ
🥶	سړه مخ
😳	لوڅ شوی مخ
🤪	ځناور مخ
😵	سرخوږی مخ
😡	مخ وهل
😠	قهرجن مخ
🤬	په خوله کې د سمبولونو سره مخ
😷	د طبي ماسک سره مخ
🤒	د ترمامیتر سره مخ
🤕	د سر بند سره مخ
🤢	ستړی شوی مخ
🤮	مخ کانګې
🤧	پرنجي مخ
😇	د هیلو سره موسکا مخ
🤠	د چرواکو خولۍ مخ
🥳	ګوندي مخ
🥴	خړ مخ
🥺	درخواست کوونکی مخ
🤥	پروت مخ
🤫	چپه خوله مخ
🤭	مخ په خوله لاس سره
🧐	د monocle سره مخ
🤓	بې خوبه مخ
😈	خندا لرونکی مخ د ښکرونو سره
👿	غوسه شوی مخ د سینګونو سره
🤡	مسخره مخ
👹	اوګر
👺	ګوبلین
💀	کوپړۍ
☠️	سر او کراس هډوکي
☠	سر او کراس هډوکي
👻	روح
👽	اجنبی
👾	اجنبی شیطان
🤖	روبوټ مخ
💩	د پوستکي
😺	خندا د پیشو مخ
😸	د خندا وړ پیشو مخ په خندا سترګو سره
😹	د پیشو مخ د خوښۍ له اوښکو سره
😻	موسکا پیشو مخ د زړه سترګو سره
😼	د پیشو مخ په خندا سره
😽	د پیشو مخ ښکلول
🙀	ستړی پیشو مخ
😿	د ژړا پیشو مخ
😾	د پیشو مخ وهل
🙈	د بدو بندر نه لیدل
🙉	نه اوریدونکی بندر
🙊	خبرې-نه-بد بندر
🏻	د پوستکي روښانه رنګ
🏼	د پوستکي منځنۍ رنګ
🏽	د پوستکي منځنی ټون
🏾	منځنی تور پوستکی ټون
🏿	تور پوستکي ټون
👶	ماشوم
👶🏻	ماشوم: د پوستکي رنګ
👶🏼	ماشوم: د پوستکي منځنۍ رنګ
👶🏽	ماشوم: د پوستکي منځنی رنګ
👶🏾	ماشوم: د پوستکي منځنی تور رنګ
👶🏿	ماشوم: تور پوستکی
🧒	ماشوم
🧒🏻	ماشوم: د پوستکي رنګ
🧒🏼	ماشوم: د پوستکي منځنۍ رنګ
🧒🏽	ماشوم: د پوستکي منځنی رنګ
🧒🏾	ماشوم: د پوستکي منځنی تور رنګ
🧒🏿	ماشوم: تور پوستکی
👦	هلک
👦🏻	هلک: د پوستکي رنګ
👦🏼	هلک: د پوستکي منځنۍ رنګ
👦🏽	هلک: د پوستکي منځنی رنګ
👦🏾	هلک: د پوستکي منځنی تور رنګ
👦🏿	هلک: تور پوستکی
👧	نجلۍ
👧🏻	نجلۍ: د پوستکي رنګ
👧🏼	نجلۍ: د پوستکي منځنۍ رنګ
👧🏽	نجلۍ: د پوستکي منځنی رنګ
👧🏾	نجلۍ: د پوستکي منځنی تور رنګ
👧🏿	نجلۍ: تور پوستکی
🧑	بالغ
