😀	nacereno lice
😁	ozarena lica s nasmijanim očima
😂	lice sa suzama radosnicama
🤣	valjati se po podu od smijeha
😃	nacereno lice s velikim očima
😄	nacereno lice sa nasmiješenim očima
😅	nacereno lice obliveno znojem
😆	nacereno škiljavo lice
😉	lice koje namiguje
😊	nasmiješeno lice sa nasmiješenim očima
😋	lice guštajući u hrani
😎	nasmiješeno lice sa sunčanim naočalama
😍	nasmiješeno lice s očima u obliku srca
😘	lice koje šalje poljubac
🥰	nasmiješeno lice sa 3 srca
😗	ljubeći lice
😙	ljubeći lice s nasmijanim očima
😚	ljubeći lice zatvorenih očiju
☺️	nasmiješeno lice
☺	nasmiješeno lice
🙂	blago nasmiješeno lice
🤗	zagrljeno lice
🤩	zvjezdani
🤔	lice koje razmišlja
🤨	lice s podignutom obrvom
😐	neutralno lice
😑	bezizražajno lice
😶	lice bez usta
🙄	lice s kolutajućim očima
😏	nasmiješeno lice
😣	ustrajno lice
😥	tužno ali olakšano lice
😮	lice s otvorenim ustima
🤐	lice s patentnim zatvaračem
😯	stišano lice
😪	pospano lice
😫	umorno lice
😴	usnulo lice
😌	olakšano lice
😛	lice s jezikom
😜	namigivanje lica s jezikom
😝	škiljavo lice s jezikom
🤤	slinavo lice
😒	nezabavljeno lice
😓	oboreno lice obliveno znojem
😔	zamišljeno lice
😕	zbunjeno lice
🙃	naopako lice
🤑	lice s novcem
😲	začuđeno lice
☹️	namrgođeno lice
☹	namrgođeno lice
🙁	blago namrgođeno lice
😖	zbunjeno lice
😞	razočarano lice
😟	zabrinuto lice
😤	lice s parom iz nosa
😢	uplakano lice
😭	glasno uplakano lice
😦	namrgođeno lice s otvorenim ustima
😧	izmučeno lice
😨	uplašeno lice
😩	umorno lice
🤯	eksplozivna glava
😬	iskrivljeno lice
😰	tjeskobno lice obliveno znojem
😱	lice koje vrišti od straha
🥵	vruće lice
🥶	hladno lice
😳	zajapureno lice
🤪	otkačeno lice
😵	vrtoglavo lice
😡	napućeno lice
😠	ljutito lice
🤬	lice sa simbolima na ustima
😷	lice s medicinskom maskom
🤒	lice s termometrom
🤕	lice s povezom na glavi
🤢	mučno lice
🤮	lice povraćanje
🤧	lice koje kihne
😇	nasmiješeno lice s aureolom
🤠	lice kaubojskog šešira
🥳	tulumarsko lice
🥴	vrtoglavo lice
🥺	molećivo lice
🤥	lažljivo lice
🤫	ušutkano lice
🤭	lice s rukom na ustima
🧐	lice s monoklom
🤓	štrebersko lice
😈	nasmiješeno lice s rogovima
👿	ljutito lice s rogovima
🤡	lice klauna
👹	ogrezlo
👺	zao
💀	lubanja
☠️	lubanja i prekrižene kosti
☠	lubanja i prekrižene kosti
👻	duh
👽	stranac
👾	vanzemaljsko čudovište
🤖	lice robota
💩	hrpa kakice
😺	nacereno mačje lice
😸	nacereno mačje lice s nasmiješenim očima
😹	mačje lice sa suzama radosnicama
😻	nasmiješeno mačje lice s očima u obliku srca
😼	mačje lice s ljutim osmijehom
😽	ljubljenje mačjeg lica
🙀	umorno mačje lice
😿	uplakano mačje lice
😾	napućeno mačje lice
🙈	nevidi-zla majmun
🙉	čuj-ne-zli majmun
🙊	ne govori zlo majmun
🏻	svijetla boja kože
🏼	srednje svijetla boja kože
🏽	srednja boja kože
🏾	srednje tamna boja kože
🏿	tamna boja kože
👶	dijete
👶🏻	beba: svijetla boja kože
👶🏼	beba: srednje svijetla boja kože
👶🏽	beba: srednja boja kože
👶🏾	beba: srednje tamna boja kože
👶🏿	beba: tamna boja kože
🧒	dijete
🧒🏻	dijete: svijetla boja kože
🧒🏼	dijete: srednje svijetla boja kože
🧒🏽	dijete: srednja boja kože
🧒🏾	dijete: srednje tamna boja kože
🧒🏿	dijete: tamna boja kože
👦	dječak
👦🏻	dječak: svijetla boja kože
👦🏼	dječak: srednje svijetla boja kože
👦🏽	dječak: srednja boja kože
👦🏾	dječak: srednje tamna koža
👦🏿	dječak: tamna boja kože
👧	djevojka
👧🏻	djevojka: svijetla koža
👧🏼	djevojka: srednje svijetla koža
👧🏽	djevojka: srednja boja kože
👧🏾	djevojka: srednje tamna koža
👧🏿	djevojka: tamna koža
🧑	odrasla osoba
🧑🏻	odrasli: svijetla boja kože
🧑🏼	odrasli: srednje svijetla boja kože
🧑🏽	odrasli: srednja boja kože
🧑🏾	odrasli: srednje tamna boja kože
🧑🏿	odrasli: tamna boja kože
👨	čovjek
👨🏻	muškarac: svijetla boja kože
👨🏼	muškarac: srednje svijetla boja kože
👨🏽	muškarac: srednja boja kože
👨🏾	muškarac: srednje tamna koža
👨🏿	muškarac: tamna boja kože
👩	žena
👩🏻	žena: svijetla boja kože
👩🏼	žena: srednje svijetla boja kože
