😀	ನಗುವ ಮುಖ
😁	ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳಿಂದ ಹೊಳೆಯುವ ಮುಖ
😂	ಸಂತೋಷದ ಕಣ್ಣೀರಿನ ಮುಖ
🤣	ನಗುತ್ತಾ ನೆಲದ ಮೇಲೆ ಉರುಳುತ್ತಿದ್ದ
😃	ದೊಡ್ಡ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
😄	ನಗುವ ಕಣ್ಣುಗಳಿಂದ ನಗುವ ಮುಖ
😅	ಬೆವರಿನಿಂದ ನಕ್ಕ ಮುಖ
😆	ನಸುನಗುವ ಮುಖ
😉	ಕಣ್ಣು ಮಿಟುಕಿಸುವ ಮುಖ
😊	ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
😋	ಮುಖ ಸವಿಯುವ ಆಹಾರ
😎	ಸನ್ಗ್ಲಾಸ್ನೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
😍	ಹೃದಯ-ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
😘	ಮುತ್ತು ಊದುವ ಮುಖ
🥰	3 ಹೃದಯಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
😗	ಚುಂಬಿಸುವ ಮುಖ
😙	ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಚುಂಬಿಸುವ ಮುಖ
😚	ಮುಚ್ಚಿದ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ
☺️	ನಗುತ್ತಿರುವ ಮುಖ
☺	ನಗುತ್ತಿರುವ ಮುಖ
🙂	ಸ್ವಲ್ಪ ನಗುತ್ತಿರುವ ಮುಖ
🤗	ಅಪ್ಪಿಕೊಳ್ಳುವ ಮುಖ
🤩	ಸ್ಟಾರ್-ಸ್ಟ್ರಕ್
🤔	ಯೋಚಿಸುವ ಮುಖ
🤨	ಎತ್ತಿದ ಹುಬ್ಬಿನ ಮುಖ
😐	ತಟಸ್ಥ ಮುಖ
😑	ಭಾವರಹಿತ ಮುಖ
😶	ಬಾಯಿ ಇಲ್ಲದ ಮುಖ
🙄	ತಿರುಗುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಮುಖ
😏	ಮಂದಹಾಸ ಬೀರುವ ಮುಖ
😣	ಪರಿಶ್ರಮದ ಮುಖ
😥	ದುಃಖ ಆದರೆ ಸಮಾಧಾನದ ಮುಖ
😮	ತೆರೆದ ಬಾಯಿಯೊಂದಿಗೆ ಮುಖ
🤐	ಝಿಪ್ಪರ್-ಬಾಯಿ ಮುಖ
😯	ನಿಶ್ಶಬ್ದ ಮುಖ
😪	ನಿದ್ದೆಯ ಮುಖ
😫	ದಣಿದ ಮುಖ
😴	ಮಲಗುವ ಮುಖ
😌	ಸಮಾಧಾನಗೊಂಡ ಮುಖ
😛	ನಾಲಿಗೆಯಿಂದ ಮುಖ
😜	ನಾಲಿಗೆಯಿಂದ ಕಣ್ಣು ಮಿಟುಕಿಸುವ ಮುಖ
😝	ನಾಲಿಗೆಯಿಂದ ಕಣ್ಣು ಕುಕ್ಕುವ ಮುಖ
🤤	ಜೊಲ್ಲು ಸುರಿಸುತ್ತಿರುವ ಮುಖ
😒	ವಿನೋದವಿಲ್ಲದ ಮುಖ
